,Make,Year of manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
1034,14,2004,0,182267,4700,0,0,2625000,0
1037,9,2015,0,85847,1600,0,0,5040000,0
1039,27,2002,0,187433,3000,0,0,2100000,0
1041,27,2008,0,141473,2400,0,0,2925000,0
1043,5,2007,1,467397,3500,0,0,2835000,0
1045,27,2009,0,85296,3500,0,0,4830000,0
1065,13,2008,0,78565,4400,0,0,2415000,0
1068,14,2008,1,155665,3500,0,0,3570000,0
1073,27,2008,0,307470,2400,0,0,2835000,0
1076,5,2007,0,115975,3500,0,0,2200000,0
1081,27,2009,0,172537,3500,0,0,4725000,0
1082,5,2012,0,130722,3500,0,2,2835000,0
1086,14,2010,1,279373,3500,0,0,9880000,0
1087,9,2013,1,139775,2000,0,0,8112000,0
1089,17,2007,0,210226,4500,0,0,4249440,0
1092,17,2007,1,192028,3500,0,0,6448000,0
1093,14,2004,0,179555,3400,0,0,3640000,0
1096,11,2011,1,119865,3700,0,0,5775000,0
1101,0,2005,1,288147,3500,0,0,2310000,0
1102,14,2004,0,78851,3600,0,0,3848000,0
1104,22,2017,0,68343,3600,0,0,18900000,0
1105,14,2003,0,299647,4700,0,0,3675000,0
1107,14,2010,0,108096,5700,0,0,15750000,0
1110,14,2004,0,78851,3600,0,0,3848000,0
1114,9,2013,1,139775,2000,0,0,8112000,0
1116,27,2008,0,56479,3500,0,0,5400000,0
1121,14,2003,0,252622,3500,0,0,2600000,0
1122,21,2007,1,322537,3400,0,0,2205000,0
1127,14,2003,0,252622,3500,0,0,2600000,0
1131,27,2006,0,206432,3300,0,0,2860000,0
1132,5,2007,0,127500,4000,0,0,2205000,0
1135,27,2003,0,199651,4000,0,0,2912000,0
1145,8,2005,0,139809,6000,0,0,6300000,0
1147,14,2005,0,134607,4500,0,0,2625000,0
1161,27,2005,0,98692,2400,0,0,2600000,0
1162,5,2012,0,226281,3500,0,0,2520000,0
1164,0,2008,0,158238,2300,0,0,3432000,0
1166,9,2014,1,112615,2400,0,0,6825000,0
1171,14,2004,0,254872,3300,0,0,3150000,0
1173,13,2014,1,204656,3500,0,0,22050000,0
1179,9,2015,0,71181,1600,0,0,8400000,0
1180,27,2007,0,290721,3500,0,0,2782500,0
1186,27,2005,0,98692,2400,0,0,2600000,0
1187,10,2004,0,101828,4500,0,0,2625000,0
1189,9,2015,0,86960,3300,0,0,6615000,0
1190,5,2010,0,280188,3000,0,0,2625000,0
1193,9,2015,1,122448,2400,0,3,9450000,0
1199,5,2010,1,463172,3000,0,0,2835000,0
1205,14,2008,0,100098,3500,0,0,3675000,0
1206,13,2007,0,185503,4200,0,0,2100000,0
1207,27,2002,0,196880,5600,0,0,2310000,0
1209,27,2008,0,308809,3500,0,0,2625000,0
1210,9,2014,1,112615,2400,0,0,6825000,0
1211,27,2007,0,91854,2400,0,0,2205000,0
1213,27,2008,0,211165,3500,0,0,2625000,0
1218,13,2014,1,204656,3500,0,0,22050000,0
1219,27,2004,0,138325,4700,0,0,2912000,0
1223,17,2007,1,305375,3500,0,0,3675000,0
1225,0,2007,0,354807,3700,0,0,2572500,0
1232,19,2008,1,113279,3500,0,0,3675000,0
1239,5,2010,0,280188,3000,0,0,2625000,0
1240,27,2008,0,211165,3500,0,0,2625000,0
1252,0,2008,0,186539,3700,0,0,2940000,0
1260,14,2009,0,1530065,3500,0,0,4784000,0
1262,10,2006,0,169239,5600,0,0,1675000,0
1263,5,2013,0,99988,3500,0,0,2625000,0
1264,27,2006,0,341149,3500,0,0,2625000,0
1265,27,2004,0,96072,4000,0,0,1837500,0
1271,0,2006,0,114031,3500,0,0,1768000,0
1275,9,2013,0,85345,2400,0,0,4042500,0
1279,0,2009,0,429408,3700,0,0,2625000,0
1290,0,2010,0,112020,3700,0,0,4680000,0
1291,9,2014,0,101951,2000,0,0,3360000,0
1297,27,2015,1,46336,3500,0,0,15080000,0
1298,5,2010,1,463172,3000,0,0,2835000,0
1300,5,2007,1,292069,3500,0,0,3640000,0
1301,27,2004,0,165284,3300,0,0,2756000,0
1302,21,2007,1,322537,3400,0,0,2205000,0
1305,17,2007,1,305375,3500,0,0,3675000,0
1306,27,2004,0,141882,3500,0,0,2310000,0
1308,17,2008,0,324323,4700,0,0,6760000,0
1312,27,2005,0,94077,3300,0,0,2520000,0
1313,17,2006,0,13571,3400,0,0,3744000,0
1315,8,2005,0,139809,6000,0,0,6300000,0
1321,27,2015,1,46336,3500,0,0,15080000,0
1322,5,2010,0,248893,3500,0,0,2467500,0
1327,14,2005,0,156418,3300,0,0,3328000,0
1328,27,2006,0,96343,3500,0,0,1995000,0
1329,27,2008,0,93578,3500,0,0,3952000,0
1336,27,2002,0,215340,3000,0,0,2200000,0
1339,13,2009,0,128701,4400,0,0,2940000,0
1341,0,2010,0,112020,3700,0,0,4680000,0
1345,27,2007,0,108179,2400,0,0,2625000,0
1346,27,2005,0,245731,3300,0,0,2310000,0
1347,17,2008,0,324323,4700,0,0,6760000,0
1349,27,2003,0,342633,4000,0,0,2300000,0
1358,5,2007,0,209088,3500,0,0,1890000,0
1360,5,2010,0,248893,3500,0,0,2467500,0
1361,27,2006,0,96343,3500,0,0,1995000,0
1362,14,2005,0,57855,3300,0,0,2835000,0
1366,17,2010,0,84345,3500,0,0,5775000,0
1369,10,2006,0,169239,5600,0,0,1675000,0
1373,4,2009,1,274542,3600,0,0,6300000,0
1378,5,2007,0,95227,3500,0,0,2600000,0
1380,27,2003,0,112583,3000,0,0,2100000,0
1382,27,2011,0,248863,3500,0,0,6240000,0
1385,27,2005,0,245731,3300,0,0,2310000,0
1388,14,2008,1,149092,3500,0,0,5145000,0
1390,27,2009,0,143829,2700,0,0,5512000,0
1391,27,2002,0,215340,3000,0,0,2200000,0
1396,19,2008,1,113279,3500,0,0,3675000,0
1398,17,2010,0,161785,3500,0,0,5550000,0
1402,5,2007,0,95227,3500,0,0,2600000,0
1404,14,2008,1,149092,3500,0,0,5145000,0
1412,27,2011,0,115034,2700,0,0,6968000,0
1413,27,2003,0,342633,4000,0,0,2300000,0
1415,5,2013,0,99988,3500,0,0,2625000,0
1420,12,2013,0,37455,3500,0,0,3412500,0
1424,25,2009,0,155231,2400,0,0,2625000,0
1440,27,2010,1,210366,2500,0,0,5616000,0
1446,11,2007,0,75157,3700,0,0,1575000,0
1447,12,2012,0,145309,3500,0,0,5250000,0
1450,9,2010,0,112204,2200,0,0,4200000,0
1459,14,2002,0,190875,3000,0,0,2184000,0
1465,27,2003,0,270359,4700,0,0,2548000,0
1466,5,2008,0,252855,3500,0,0,1680000,0
1470,5,2013,0,31192,1600,0,0,4680000,0
1471,12,2012,0,145309,3500,0,0,5250000,0
1477,27,2003,0,270359,4700,0,0,2548000,0
1482,9,2019,0,43168,1600,0,0,6825000,0
1488,12,2013,0,134013,3800,0,0,4410000,0
1498,27,2009,0,11582,3500,0,3,4200000,0
1510,12,2015,0,62440,35000,0,0,7350000,0
1517,14,2001,0,336469,3000,0,0,1680000,0
1520,27,2004,0,100399,3000,0,0,2184000,0
1523,9,2009,1,113451,3300,0,0,2940000,0
1524,16,2006,1,222788,2700,0,0,2415000,0
1532,14,2001,0,336469,3000,0,0,1680000,0
1533,16,2007,1,322125,3500,0,0,4004000,0
1534,27,2011,0,104659,2700,0,0,4725000,0
1535,27,2017,0,8383,4000,0,0,34650000,0
1536,9,2009,1,113451,3300,0,0,2940000,0
1538,16,2008,0,147971,3700,0,0,3328000,0
1539,16,2010,1,340782,3700,0,0,4700000,0
1541,14,2007,0,392106,3500,0,0,3045000,0
1543,13,2006,0,232306,4400,0,0,2100000,0
1544,16,2010,1,97408,35,0,0,4200000,0
1550,27,2003,0,138465,4700,0,0,2496000,0
1553,9,2007,1,178427,3500,0,0,3588000,0
1556,12,2011,1,255053,2400,0,0,6300000,0
1561,27,2003,0,138465,4700,0,0,2496000,0
1568,14,2004,0,261065,3000,0,0,2730000,0
1569,16,2010,1,97408,35,0,0,4200000,0
1573,14,2013,0,89456,3500,0,0,8400000,0
1576,12,2011,1,255053,2400,0,0,6300000,0
